question,answer,distractor
Meals can be served,in rooms at 9:00 p. m.,"'outside the room at 3:00 p. m.', 'in the dining - room at 6:00 p. m.', 'in the dining - room from 7:30 a. m. to 9:15 p. m.'"
It can be inferred from the passage that,The local government can deal with the problem of lacking money by some means .,"'If some tragedies occur again ', ' relevant departments of the State Council should take responsibility completely .', 'Currently ', ' the central government has established sound management systems to guarantee school bus safety .', 'Central and local governments will share the costs on building more modern schools in rural areas .'"
The author called Tommy 's parents in order to,help them realize their influence on Tommy,"'blame Tommy for his failing grades', 'blame Tommy for his failing grades'"
It can be inferred from the passage that,the writer is not very willing to use idioms,"'idioms are the most important part in a language', 'nonnative speakers should learn more idioms', 'there are no ways to master idioms'"
How can we deal with snake wounds according to the passage ?,Stay calm and do n't move .,'Cut the wound and suck the poison out .'
What was the writer 's problem when she studied in the boarding school at first ?,She missed her family very much .,"""She did n't like her new school ."", ""She did n't get along well with her classmates ."", ""She did n't like her new teacher ."""
Who were killed on February 5 in a small town near Johannesburg ?,Chen Jianqing and one of her partners,"'Chen Jianqing and her husband', 'Chen Jingmin and a Hong Kong businessman', 'Chen Jingmin and one of his   s'"
"According to the writer , which of the following statements is true ?","Soccer is popular all over the world , but truly great players are few .","'Millions of people all over the world are playing soccer ', ' but only seven countries have ever had famous stars .', 'Only seven countries from South America and Western Europe have ever had national teams .', 'Soccer seems the least popular in North America and Asia .'"
During a fire children often,panic,'know certain steps'
What 's the title of the passage ?,Five children died in a kindergarten bus accident .,"'A bus accident in Deng zhou .', 'All primary school and kindergarten vehicles in Dengzhou .', 'The driver of the bus has been put into custody by the police .'"
We feel unhappy when   ,we have a fight with our classmates,'we get good grades'
What was NOT the effect of the Revolution ?,The king tried to control the national parliament .,"'July 14 has become the French National Day .', ""Louis 's wife "", ' Marie was killed .'"
